instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1626.0,5.0,0.30845157310302285,True,True
dkg813,813,3217.0,18.0,0.5626758361988121,True,True
gr666,666,294358.0,-134.0,-0.04550208494628037,True,True
lim963,963,2825.0,36.0,1.2907852276801721,True,False
pa561,561,2763.0,0.0,0.0,True,True
pbk411,411,1348.0,5.0,0.37230081906180196,True,True
pbl395,395,1286.0,5.0,0.39032006245121,True,True
pbm436,436,1457.0,14.0,0.9702009702009702,True,False
pbn423,423,1372.0,7.0,0.5128205128205128,True,True
pcb442,442,50778.0,0.0,0.0,True,True
pka379,379,1549.0,178.0,12.983223924142962,True,False
rbu737,737,3324.0,10.0,0.30175015087507545,True,True
rbx711,711,3129.0,12.0,0.384985563041386,True,True
xql662,662,2518.0,3.0,0.11928429423459246,True,True
