instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,6500.0,4879.0,300.9870450339297,True,False
dkg813,813,19262.0,16063.0,502.12566427008437,True,False
gr666,666,1364423.0,1070019.0,363.4526025461611,True,False
lim963,963,18311.0,15522.0,556.5435640014342,True,False
pa561,561,11266.0,8503.0,307.7452044878755,True,False
pbk411,411,5989.0,4646.0,345.94192107222636,True,False
pbl395,395,4995.0,3714.0,289.92974238875877,True,False
pbm436,436,6366.0,4923.0,341.16424116424116,True,False
pbn423,423,5604.0,4239.0,310.54945054945057,True,False
pcb442,442,202614.0,151836.0,299.0192603095829,True,False
pka379,379,5400.0,4068.0,305.4054054054054,True,False
rbu737,737,18096.0,14779.0,445.5532107325897,True,False
rbx711,711,17679.0,14564.0,467.54414125200645,True,False
xql662,662,13480.0,10967.0,436.4106645443693,True,False
