graph,factor_0.02000_cost,factor_0.02000_runtime,factor_0.02589_cost,factor_0.02589_runtime,factor_0.03375_cost,factor_0.03375_runtime,factor_0.04160_cost,factor_0.04160_runtime,factor_0.04749_cost,factor_0.04749_runtime,factor_0.28906_cost,factor_0.28906_runtime,factor_0.29495_cost,factor_0.29495_runtime,factor_0.32048_cost,factor_0.32048_runtime,factor_0.32637_cost,factor_0.32637_runtime,factor_0.33226_cost,factor_0.33226_runtime
synthetic_10.tsp,30882.62995594825,0.0021600723266601562,30882.62995594825,0.002312898635864258,30882.62995594825,0.05377531051635742,30882.62995594825,0.0018157958984375,30882.62995594825,0.0014824867248535156,,,,,,,,,,
synthetic_100.tsp,39316.62889106542,0.004623889923095703,38861.845501611235,0.0033044815063476562,38861.845501611235,0.0033960342407226562,38861.845501611235,0.0030286312103271484,38861.845501611235,0.004151344299316406,,,,,,,,,,
synthetic_1056.tsp,36146.787565349776,0.04839038848876953,36146.787565349776,0.0042226314544677734,36350.069954761944,0.0033872127532958984,47538.06185807671,0.07181978225708008,47538.06185807671,0.003828287124633789,,,,,,,,,,
synthetic_107.tsp,42537.88914882996,0.008734464645385742,42537.88914882996,0.0047762393951416016,,,,,,,,,,,,,,,,
synthetic_108.tsp,48738.61490309652,0.005764007568359375,48430.16225051829,0.0437772274017334,48430.16225051829,0.006476640701293945,42814.03661784182,0.0058116912841796875,42814.03661784182,0.0529177188873291,,,,,,,,,,
synthetic_12.tsp,38075.92350627847,0.002851724624633789,38075.92350627847,0.0030329227447509766,40504.295935924085,0.002593517303466797,40504.295935924085,0.0026197433471679688,40504.295935924085,0.0020940303802490234,,,,,,,,,,
synthetic_1215.tsp,46789.67775826256,0.005017757415771484,46789.67775826256,0.028365135192871094,46789.67775826256,0.002865314483642578,44540.58241804809,0.0044786930084228516,44540.58241804809,0.003089427947998047,,,,,,,,,,
synthetic_1217.tsp,39100.647590350265,0.005259037017822266,,,39100.647590350265,0.0038595199584960938,40914.53233105219,0.00398707389831543,39664.210868377064,0.003401041030883789,,,,,,,,,,
synthetic_122.tsp,29792.959937477688,0.0017838478088378906,29792.959937477688,0.0016357898712158203,29792.959937477688,0.0016567707061767578,29792.959937477688,0.0014691352844238281,29792.959937477688,0.0014078617095947266,,,,,,,,,,
synthetic_1221.tsp,45170.42432974228,0.005090951919555664,45170.42432974228,0.0038912296295166016,41619.35228852508,0.0034389495849609375,51350.75042631571,0.012260675430297852,51350.75042631571,0.0024805068969726562,,,,,,,,,,
synthetic_1226.tsp,30779.198934214335,0.0025527477264404297,30779.198934214335,0.002315521240234375,30779.198934214335,0.0018870830535888672,30779.198934214335,0.0021800994873046875,30779.198934214335,0.0021076202392578125,,,,,,,,,,
synthetic_1231.tsp,30310.825726813175,0.0017852783203125,30310.825726813175,0.0016765594482421875,30310.825726813175,0.001455068588256836,30310.825726813175,0.001409292221069336,30310.825726813175,0.03818082809448242,,,,,,,,,,
synthetic_1237.tsp,47897.208806014074,0.049009084701538086,47897.208806014074,0.0045528411865234375,47897.208806014074,0.0041425228118896484,,,,,,,,,,,,,,
synthetic_1247.tsp,40896.61190001716,0.0032210350036621094,39959.32984716713,0.0029828548431396484,39959.32984716713,0.0027892589569091797,39959.32984716713,0.002363443374633789,39959.32984716713,0.0025086402893066406,,,,,,,,,,
synthetic_1250.tsp,42619.199534494575,0.004346132278442383,42619.199534494575,0.006193399429321289,54108.140704638565,0.0033981800079345703,54108.140704638565,0.009266853332519531,54108.140704638565,0.003748178482055664,,,,,,,,,,
synthetic_1293.tsp,42183.83378095008,0.004781484603881836,42183.83378095008,0.004182577133178711,52610.682761788965,0.003415346145629883,52610.682761788965,0.003188610076904297,,,,,,,,,,,,
synthetic_1296.tsp,42005.30538747424,0.06970834732055664,42503.00513590043,0.0035140514373779297,46574.8500500354,0.003154754638671875,46574.8500500354,0.0028290748596191406,46574.8500500354,0.0025048255920410156,,,,,,,,,,
synthetic_1303.tsp,44720.54626154338,0.0068280696868896484,45786.49978984363,0.007138252258300781,46201.94600718668,0.008132219314575195,47373.11954641092,0.00507807731628418,55663.09089514919,0.00529789924621582,,,,,,,,,,
synthetic_1334.tsp,44364.78421813972,0.005849123001098633,53541.932908025934,0.025602340698242188,44819.61180177606,0.0423891544342041,44819.61180177606,0.008861303329467773,44819.61180177606,0.005153179168701172,,,,,,,,,,
synthetic_1344.tsp,23446.851648613614,0.0017518997192382812,23446.851648613614,0.001293182373046875,23446.851648613614,0.002030611038208008,25904.861677219513,0.00115966796875,25904.861677219513,0.0011837482452392578,,,,,,,,,,
synthetic_1353.tsp,36571.37360015958,0.0024635791778564453,36571.37360015958,0.0021877288818359375,36571.37360015958,0.005059480667114258,36571.37360015958,0.002180337905883789,36571.37360015958,0.0018901824951171875,,,,,,,,,,
synthetic_1359.tsp,36661.49074980968,0.0027360916137695312,36721.59603561366,0.002506256103515625,36721.59603561366,0.003609180450439453,38388.7272736477,0.00411224365234375,38388.7272736477,0.0022492408752441406,,,,,,,,,,
synthetic_1363.tsp,37466.532119343145,0.003787994384765625,33305.14869783304,0.0030133724212646484,37084.62441078947,0.0024979114532470703,37084.62441078947,0.003476381301879883,37084.62441078947,0.0027697086334228516,,,,,,,,,,
synthetic_1367.tsp,46471.0334522624,0.00481867790222168,48564.87098353557,0.003977298736572266,38908.34183680666,0.004679441452026367,38908.34183680666,0.07517099380493164,38908.34183680666,0.0034151077270507812,,,,,,,,,,
