instance_id,n_nodes,original_edges,kept_edges,tour_edges,tour_edges_kept,recall,success,sparsity,min_degree,mean_degree,max_degree
0,245,677,286,217.0,188.0,0.8663594470046083,False,0.4224519940915805,2,2.3346939086914062,4
1,92,258,113,86.0,73.0,0.8488372093023255,False,0.437984496124031,2,2.45652174949646,4
2,171,475,202,158.0,133.0,0.8417721518987342,False,0.42526315789473684,2,2.3625731468200684,4
3,346,966,410,314.0,279.0,0.8885350318471338,False,0.4244306418219462,2,2.3699421882629395,4
4,5,10,6,5.0,4.0,0.8,False,0.6,2,2.4000000953674316,4
5,385,1067,452,354.0,313.0,0.884180790960452,False,0.42361761949390814,2,2.3480520248413086,5
6,318,889,374,292.0,251.0,0.8595890410958904,False,0.42069741282339707,2,2.352201223373413,4
7,366,1011,427,335.0,302.0,0.9014925373134328,False,0.42235410484668645,2,2.3333332538604736,4
8,153,421,181,136.0,124.0,0.9117647058823529,False,0.42992874109263657,2,2.3660130500793457,4
9,313,870,373,284.0,246.0,0.8661971830985915,False,0.42873563218390803,2,2.3833866119384766,5
10,7,20,8,6.0,4.0,0.6666666666666666,False,0.4,2,2.2857143878936768,3
11,451,1240,529,408.0,358.0,0.8774509803921569,False,0.4266129032258065,2,2.345897912979126,5
12,58,159,69,55.0,48.0,0.8727272727272727,False,0.4339622641509434,2,2.379310369491577,4
13,463,1272,541,423.0,371.0,0.8770685579196218,False,0.425314465408805,2,2.336933135986328,4
14,61,166,71,57.0,52.0,0.9122807017543859,False,0.42771084337349397,2,2.327868938446045,4
15,326,916,387,300.0,263.0,0.8766666666666667,False,0.42248908296943233,2,2.3742332458496094,5
16,71,195,86,67.0,57.0,0.8507462686567164,False,0.441025641025641,2,2.4225351810455322,4
17,144,402,170,133.0,117.0,0.8796992481203008,False,0.4228855721393035,2,2.3611111640930176,5
18,449,1246,528,410.0,355.0,0.8658536585365854,False,0.42375601926163725,2,2.351893186569214,5
19,245,677,284,228.0,203.0,0.8903508771929824,False,0.4194977843426883,2,2.3183672428131104,4
20,15,41,17,14.0,12.0,0.8571428571428571,False,0.4146341463414634,2,2.2666666507720947,3
21,16,45,18,14.0,12.0,0.8571428571428571,False,0.4,2,2.25,4
22,235,648,278,213.0,181.0,0.8497652582159625,False,0.42901234567901236,2,2.365957498550415,4
23,425,1175,495,389.0,334.0,0.8586118251928021,False,0.42127659574468085,2,2.329411745071411,4
24,460,1271,536,424.0,368.0,0.8679245283018868,False,0.4217151848937844,2,2.330434799194336,4
25,67,185,81,58.0,53.0,0.9137931034482759,False,0.43783783783783786,2,2.41791033744812,4
26,70,200,82,66.0,56.0,0.8484848484848485,False,0.41,2,2.3428571224212646,4
27,115,317,131,104.0,89.0,0.8557692307692307,False,0.41324921135646686,2,2.2782609462738037,4
28,70,198,82,63.0,55.0,0.873015873015873,False,0.41414141414141414,2,2.3428571224212646,4
29,402,1111,469,367.0,326.0,0.888283378746594,False,0.4221422142214221,2,2.3333332538604736,4
30,482,1324,563,440.0,385.0,0.875,False,0.425226586102719,2,2.336099624633789,4
31,29,83,33,28.0,23.0,0.8214285714285714,False,0.39759036144578314,2,2.275861978530884,4
32,33,90,37,32.0,29.0,0.90625,False,0.4111111111111111,2,2.242424249649048,4
33,70,198,84,60.0,51.0,0.85,False,0.42424242424242425,2,2.4000000953674316,4
34,524,1451,613,479.0,416.0,0.8684759916492694,False,0.4224672639558925,2,2.3396947383880615,4
35,4,6,4,4.0,4.0,1.0,True,0.6666666666666666,2,2.0,2
36,178,492,217,165.0,141.0,0.8545454545454545,False,0.4410569105691057,2,2.438202142715454,5
37,530,1471,619,481.0,421.0,0.8752598752598753,False,0.42080217539089054,2,2.3358490467071533,4
38,42,118,50,39.0,32.0,0.8205128205128205,False,0.423728813559322,2,2.3809523582458496,4
39,60,170,71,56.0,48.0,0.8571428571428571,False,0.4176470588235294,2,2.366666555404663,4
