instance,n,cost,gap_abs,gap_rel_percent,tour_found,success
bcl380,380,1642.0,21.0,1.295496607032696,True,False
dkg813,813,3247.0,48.0,1.5004688965301656,True,False
gr666,666,309279.0,14787.0,5.02118903060185,True,False
lim963,963,2976.0,187.0,6.704912154894227,True,False
pa561,561,3056.0,293.0,10.604415490408975,True,False
pbk411,411,1392.0,49.0,3.648548026805659,True,False
pbl395,395,1298.0,17.0,1.327088212334114,True,False
pbm436,436,1471.0,28.0,1.9404019404019404,True,False
pbn423,423,1403.0,38.0,2.783882783882784,True,False
pcb442,442,51076.0,298.0,0.5868683288038127,True,True
pka379,379,1566.0,234.0,17.56756756756757,True,False
rbu737,737,3345.0,29.0,0.8745476477683957,True,False
rbx711,711,3140.0,23.0,0.7378889958293231,True,False
xql662,662,2564.0,51.0,2.029446876243534,True,False
 
