instance,k,mean_gap,std_gap,min_gap,max_gap,range_gap,n_seeds
bcl380,2,150.0801974090068,10.414475037692174,128.99444787168414,165.94694632942628,36.95249845774214,10
bcl380,3,27.723627390499693,4.264839237303006,22.27020357803825,32.078963602714374,9.808760024676126,10
bcl380,4,6.699568167797656,1.6246938158057027,4.811844540407156,7.95805058605799,3.1462060456508336,10
bcl380,5,2.0357803824799503,4.681111291435602e-16,2.0357803824799507,2.0357803824799507,0.0,10
bcl380,6,1.295496607032696,0.0,1.295496607032696,1.295496607032696,0.0,10
bcl380,7,0.6292412091301666,0.03901638075469929,0.6169031462060457,0.7402837754472548,0.12338062924120907,10
bcl380,8,0.6847624922887107,0.21459009415084626,0.6169031462060457,1.295496607032696,0.6785934608266504,10
bcl380,9,1.1844540407156077,1.7080779534695365,0.5552128315854411,5.983960518198643,5.428747686613201,10
bcl380,10,0.49352251696483657,5.851389114294502e-17,0.4935225169648365,0.4935225169648365,0.0,10
bcl380,12,0.49352251696483646,0.19936993038932052,0.3701418877236274,0.9253547193090684,0.555212831585441,10
bcl380,15,0.24676125848241823,2.925694557147251e-17,0.2467612584824182,0.2467612584824182,0.0,10
bcl380,17,0.24676125848241823,2.925694557147251e-17,0.2467612584824182,0.2467612584824182,0.0,10
bcl380,20,0.0,0.0,0.0,0.0,0.0,10
bcl380,22,0.06785934608266501,0.21459009415084623,0.0,0.6785934608266502,0.6785934608266502,10
bcl380,25,0.0,0.0,0.0,0.0,0.0,10
dkg813,2,287.84877420398186,22.342532298412937,258.8566073102156,319.47483588621446,60.61822857599884,10
dkg813,3,83.07698076923641,4.415332749573969,78.43075961237886,92.46639574867146,14.035636136292595,10
dkg813,4,15.522597219003634,0.9616474982768505,14.129415442325726,16.13004063769928,2.000625195373555,10
dkg813,5,3.0257600611093816,0.02035716442533822,2.9678225554514217,3.0321975617380432,0.06437500628662152,10
dkg813,6,1.5066290533817432,0.019965110904129398,1.4682911590128085,1.5317286652078774,0.06343750619506894,10
dkg813,7,1.0877754968530757,0.01997423232753149,1.0309278350515465,1.0940919037199124,0.06316406866836588,10
dkg813,8,0.650166079117781,0.019887763789317118,0.5935645110902843,0.6564551422319475,0.06289063114166316,10
dkg813,9,0.465745162670426,0.023138153177235964,0.4061230865354577,0.5001562988433885,0.09403321230793082,10
dkg813,10,0.21255666138248647,0.019801295251102705,0.1562011871290222,0.2188183807439825,0.06261719361496029,10
dkg813,12,0.1031552835112581,0.05523824561757817,0.0312402374258044,0.2500781494216942,0.2188379119958898,10
dkg813,15,-0.00624804748516088,0.019758060981995475,-0.0624804748516088,0.0,0.0624804748516088,10
dkg813,17,-0.00624804748516088,0.019758060981995475,-0.0624804748516088,0.0,0.0624804748516088,10
dkg813,20,0.006255859985923831,0.046124495902806956,-0.0624804748516088,0.1250390747108471,0.1875195495624559,10
dkg813,22,-0.00624804748516088,0.019758060981995475,-0.0624804748516088,0.0,0.0624804748516088,10
dkg813,25,-0.00624804748516088,0.019758060981995475,-0.0624804748516088,0.0,0.0624804748516088,10
gr666,2,140.2524914846262,9.68945807788136,122.38498698863287,155.61033916031676,33.22535217168388,10
gr666,3,30.75342662618082,1.5165398843545241,29.210640696521462,32.66770395233016,3.457063255808695,10
gr666,4,15.5453716609093,0.02216981717828318,15.503307390353555,15.555887728548232,0.05258033819467656,10
gr666,5,7.413158043418766,0.020609480432958543,7.374054303682273,7.42293397835289,0.0488796746706166,10
gr666,6,5.0594358982394905,0.02015786918365458,5.02118903060185,5.0689976151489,0.047808584547050614,10
gr666,7,3.883424054306649,0.01993222650143615,3.845605313556905,3.8928787394940856,0.04727342593718076,10
gr666,8,3.1435760485048796,0.019790271053177322,3.1060266492807957,3.1529633983109004,0.046936749030104696,10
gr666,9,2.9292307355292517,0.019749144382905922,2.8917593686755496,2.938598577242677,0.04683920856712742,10
gr666,10,2.6644072217277506,0.019422524306656266,2.6275756217486386,2.674294566480272,0.04671894473163363,10
gr666,12,2.6629806659818653,0.0203975198034649,2.62146340138272,2.674294566480272,0.05283116509755237,10
gr666,15,2.658836331205005,0.01969726351200902,2.62146340138272,2.6681795636605767,0.04671616227785691,10
gr666,17,2.658836331205005,0.01969726351200902,2.62146340138272,2.6681795636605767,0.04671616227785691,10
gr666,20,2.658836331205005,0.01969726351200902,2.62146340138272,2.6681795636605767,0.04671616227785691,10
gr666,22,2.6605002134157276,0.016657737634439795,2.62146340138272,2.6681795636605767,0.04671616227785691,10
gr666,25,2.658836331205005,0.01969726351200902,2.62146340138272,2.6681795636605767,0.04671616227785691,10
lim963,2,265.123700250986,7.352860825306288,256.1133022588741,279.5267120831839,23.41340982430978,10
lim963,3,80.63822158479742,5.328052594793172,75.2599498027967,93.2233775546791,17.963427751882406,10
lim963,4,22.366439584080315,1.5827608932844839,21.405521692362854,25.779849408390103,4.374327716027249,10
lim963,5,14.589458587307277,0.9318429644823237,12.54930082466834,15.525277877375403,2.975977052707064,10
lim963,6,7.163858013624955,1.4943754663303708,6.131229831480818,9.931875224094656,3.8006453926138377,10
lim963,7,0.9250627465041236,0.02828291996223076,0.8605234851201148,0.968088920760129,0.1075654356400142,10
lim963,8,0.6095374686267478,0.12305043792263654,0.4661168877733955,0.8246683399067766,0.3585514521333811,10
lim963,9,0.22947292936536395,0.03023571325606193,0.2151308712800287,0.2868411617067049,0.07171029042667618,10
lim963,10,0.08963786303334526,0.03872798313856733,0.0717102904266762,0.1792757260666905,0.1075654356400143,10
lim963,12,0.03944065973467191,0.03565539354649526,0.0,0.0717102904266762,0.0717102904266762,10
lim963,15,0.08605234851201145,0.03854312297501397,0.0,0.1075654356400143,0.1075654356400143,10
lim963,17,0.0358551452133381,0.03779464157007743,0.0,0.0717102904266762,0.0717102904266762,10
lim963,20,0.0,0.0,0.0,0.0,0.0,10
lim963,22,0.010756543564001431,0.034015177413069676,0.0,0.1075654356400143,0.1075654356400143,10
lim963,25,0.010756543564001431,0.024200378548244986,0.0,0.0717102904266762,0.0717102904266762,10
pa561,2,111.65761853058271,4.653161195570038,103.61925443358668,116.28664495114008,12.6673905175534,10
pa561,3,30.604415490408975,1.6134641857714815,28.26637712631198,31.63228374954759,3.3659066232356096,10
pa561,4,19.077090119435397,0.011445087441798212,19.07347086500181,19.10966340933768,0.03619254433587216,10
pa561,5,13.608396670285922,0.0,13.608396670285922,13.608396670285922,0.0,10
pa561,6,10.593557727108216,0.01748265984580617,10.56822294607311,10.604415490408975,0.03619254433586505,10
pa561,7,9.44625407166124,1.8724445165742407e-15,9.446254071661238,9.446254071661238,0.0,10
pa561,8,9.011943539630836,0.0,9.011943539630836,9.011943539630836,0.0,10
pa561,9,8.867173362287371,1.8724445165742407e-15,8.86717336228737,8.86717336228737,0.0,10
pa561,10,8.867173362287371,1.8724445165742407e-15,8.86717336228737,8.86717336228737,0.0,10
pa561,12,8.722403184943902,0.0,8.722403184943902,8.722403184943902,0.0,10
pa561,15,8.577633007600436,1.8724445165742407e-15,8.577633007600435,8.577633007600435,0.0,10
pa561,17,8.577633007600436,1.8724445165742407e-15,8.577633007600435,8.577633007600435,0.0,10
pa561,20,8.588490770901194,0.024428105599368557,8.577633007600435,8.650018096272168,0.07238508867173366,10
pa561,22,8.577633007600436,1.8724445165742407e-15,8.577633007600435,8.577633007600435,0.0,10
pa561,25,8.577633007600436,1.8724445165742407e-15,8.577633007600435,8.577633007600435,0.0,10
pbk411,2,183.54430379746836,13.695903142255668,162.09977661950856,199.62769918093815,37.52792256142959,10
pbk411,3,68.83097542814596,2.037724971423126,64.48250186150409,70.43931496649293,5.956813104988839,10
pbk411,4,21.57855547282204,3.364706056652104,18.39166046165301,27.475800446760985,9.084139985107974,10
pbk411,5,7.8927773641102,9.362222582871203e-16,7.892777364110201,7.892777364110201,0.0,10
pbk411,6,4.66120625465376,1.8977849378494704,3.648548026805659,9.75428145941921,6.105733432613552,10
pbk411,7,2.903946388682056,0.0,2.903946388682056,2.903946388682056,0.0,10
pbk411,8,0.7446016381236039,0.0,0.7446016381236039,0.7446016381236039,0.0,10
pbk411,9,0.5212211466865229,1.1702778228589004e-16,0.5212211466865228,0.5212211466865228,0.0,10
pbk411,10,0.2457185405807892,0.07063911377889158,0.2233804914370811,0.4467609828741623,0.22338049143708122,10
pbk411,12,0.14892032762472068,2.925694557147251e-17,0.1489203276247207,0.1489203276247207,0.0,10
pbk411,15,0.0,0.0,0.0,0.0,0.0,10
pbk411,17,0.0,0.0,0.0,0.0,0.0,10
pbk411,20,0.00744601638123603,0.023546371259630498,0.0,0.0744601638123603,0.0744601638123603,10
pbk411,22,0.0,0.0,0.0,0.0,0.0,10
pbk411,25,0.0,0.0,0.0,0.0,0.0,10
pbl395,2,172.66978922716626,13.800852456246854,153.3177205308353,194.4574551131928,41.139734582357505,10
pbl395,3,45.94847775175644,3.051094753426497,42.62295081967213,49.024199843871976,6.401249024199849,10
pbl395,4,9.094457455113192,0.16559877779544394,8.743169398907105,9.211553473848555,0.46838407494145073,10
pbl395,5,3.12256049960968,0.0,3.12256049960968,3.12256049960968,0.0,10
pbl395,6,1.3348946135831383,0.024686008276099788,1.327088212334114,1.405152224824356,0.07806401249024209,10
pbl395,7,0.312256049960968,0.0,0.312256049960968,0.312256049960968,0.0,10
pbl395,8,0.0,0.0,0.0,0.0,0.0,10
pbl395,9,0.0,0.0,0.0,0.0,0.0,10
pbl395,10,0.0,0.0,0.0,0.0,0.0,10
pbl395,12,0.0,0.0,0.0,0.0,0.0,10
pbl395,15,0.0,0.0,0.0,0.0,0.0,10
pbl395,17,0.0,0.0,0.0,0.0,0.0,10
pbl395,20,0.0,0.0,0.0,0.0,0.0,10
pbl395,22,0.0,0.0,0.0,0.0,0.0,10
pbl395,25,0.0,0.0,0.0,0.0,0.0,10
pbm436,2,161.83106183106185,12.600744998209047,150.65835065835066,188.2882882882883,37.62993762993764,9
pbm436,3,60.08316008316008,11.724940053079203,43.7976437976438,69.23076923076923,25.433125433125426,10
pbm436,4,14.144144144144144,2.752384958583799,10.187110187110187,16.77061677061677,6.583506583506582,10
pbm436,5,5.128205128205127,9.362222582871203e-16,5.128205128205128,5.128205128205128,0.0,10
pbm436,6,1.6285516285516284,0.10957303049786483,1.593901593901594,1.9404019404019404,0.34650034650034645,10
pbm436,7,1.1157311157311158,0.2742002906116686,0.9702009702009702,1.8018018018018016,0.8316008316008314,10
pbm436,8,0.505890505890506,0.22168802243492866,0.4158004158004158,1.1088011088011087,0.6930006930006929,10
