degree_bin,success_rate,mean_gap,std_gap,count,bin_center,success_se,success_ci_low,success_ci_high
"(2.467, 5.026]",0.024390243902439025,43.92375017473808,34.36621898416866,41,3.7465,0.02409096577194121,-0.022828049010565746,0.0716085368154438
"(5.026, 7.585]",0.17857142857142858,6.18750389038,6.603607037374125,28,6.3055,0.07237888244444443,0.0367088189803175,0.3204340381625397
"(7.585, 10.144]",0.32142857142857145,2.922627382427064,5.821287733648128,28,8.8645,0.0882594076122765,0.14844013250850951,0.4944170103486334
"(10.144, 12.703]",0.42857142857142855,1.888759203903747,4.282002847664318,28,11.4235,0.09352195295828244,0.24526840077319495,0.6118744563696621
"(12.703, 15.262]",0.5857142857142856,1.657867063200586,4.117119240743809,14,13.9825,0.1316524269280099,0.3276755289353862,0.8437530424931851
"(15.262, 17.821]",0.6454545454545454,0.5399872293009952,0.3912267563027196,11,16.5415,0.14423559490280022,0.36275277944505696,0.9281563114640339
"(17.821, 20.38]",0.61875,2.4151305160480394,5.2643505054970765,16,19.1005,0.1214234423155183,0.38076005306158417,0.8567399469384158
"(20.38, 22.939]",0.8,0.3568084150519807,0.420565823610404,5,21.6595,0.17888543819998315,0.44938454112803305,1.150615458871967
"(22.939, 25.498]",0.6666666666666666,1.5219917183615383,3.9482996187399064,15,24.2185,0.12171612389003691,0.4281030638421943,0.9052302694911389
"(25.498, 28.057]",0.65,2.0499962034788144,4.837042533791319,10,26.7775,0.15083103128998357,0.35437117867163226,0.9456288213283678
"(28.057, 30.616]",0.6692307692307692,1.6965265334327337,4.288959324042549,13,29.3365,0.1304904790943539,0.41346943020583554,0.9249921082557029
