k,success_rate,mean_gap,std_gap,count,success_se,success_ci_low,success_ci_high
2,0.0,1638.2506990056902,419.2335839188549,14,0.0,0.0,0.0
3,0.0,1236.986194098075,270.71202954759474,14,0.0,0.0,0.0
4,0.0,1014.2926545938805,204.63727412516891,14,0.0,0.0,0.0
5,0.0,859.1430712490788,189.5144499172667,14,0.0,0.0,0.0
6,0.0,754.1128262575987,152.0379083188115,14,0.0,0.0,0.0
7,0.0,682.315282546867,146.64975700961782,14,0.0,0.0,0.0
8,0.0,inf,,14,0.0,0.0,0.0
9,0.0,584.9872040798933,127.19350348560623,14,0.0,0.0,0.0
10,0.0,543.0844794496924,115.10475737814906,14,0.0,0.0,0.0
12,0.0,479.78229896987733,106.10792523934168,14,0.0,0.0,0.0
15,0.0,405.72775839046136,90.23497509572464,14,0.0,0.0,0.0
17,0.0,inf,,14,0.0,0.0,0.0
20,0.0,340.6137754968135,77.37685231266896,14,0.0,0.0,0.0
22,0.0,313.0601611208371,76.60905860533092,14,0.0,0.0,0.0
25,0.0,inf,,14,0.0,0.0,0.0
