degree_bin,success_rate,mean_gap,std_gap,count,bin_center,success_se,success_ci_low,success_ci_high
"(3.973, 8.099]",0.0,1297.8345285032576,405.54238168297826,41,6.036,0.0,0.0,0.0
"(8.099, 12.225]",0.0,806.6279487533387,176.86841167994524,28,10.161999999999999,0.0,0.0,0.0
"(12.225, 16.351]",0.0,inf,,28,14.288,0.0,0.0,0.0
"(16.351, 20.477]",0.0,564.0358417647928,120.92937498427695,28,18.414,0.0,0.0,0.0
"(20.477, 24.604]",0.0,479.78229896987733,106.10792523934168,14,22.5405,0.0,0.0,0.0
"(28.73, 32.856]",0.0,405.72775839046136,90.23497509572464,14,30.793,0.0,0.0,0.0
"(32.856, 36.982]",0.0,inf,,14,34.919,0.0,0.0,0.0
"(36.982, 41.108]",0.0,340.6137754968135,77.37685231266896,14,39.045,0.0,0.0,0.0
"(41.108, 45.234]",0.0,313.0601611208371,76.60905860533092,14,43.171,0.0,0.0,0.0
"(45.234, 49.36]",0.0,inf,,14,47.297,0.0,0.0,0.0
