degree_bin,success_rate,mean_gap,std_gap,count,bin_center,success_se,success_ci_low,success_ci_high
"(2.357, 4.707]",0.0,inf,,28,3.532,0.0,0.0,0.0
"(4.707, 7.057]",0.05,9.024900629734134,8.264457802974452,40,5.882,0.034460121880225555,-0.017541838885242078,0.11754183888524208
"(7.057, 9.408]",0.5206896551724138,3.2051571187197294,5.530486825831399,29,8.2325,0.0927681459466234,0.338864089117032,0.7025152212277956
"(9.408, 11.758]",0.7357142857142858,2.244347464771296,4.6176634066685285,28,10.582999999999998,0.08333211855285624,0.5723833333506876,0.899045238077884
"(11.758, 14.108]",0.7714285714285715,2.040258910909645,4.718669106318209,14,12.933,0.11222634354993893,0.5514649380706912,0.9913922047864517
"(14.108, 16.458]",0.7555555555555555,1.4272623546792031,2.8182094965332913,9,15.283,0.14325244152454605,0.4747807701674453,1.0363303409436657
"(16.458, 18.808]",0.8,1.8474791391086158,4.448670331105431,15,17.633,0.10327955589886444,0.5975720704382257,1.0024279295617744
"(21.158, 23.508]",0.7857142857142857,1.933336444391221,4.607437474851457,14,22.333,0.10966421051124836,0.5707724331122389,1.0006561383163324
"(23.508, 25.858]",0.7857142857142857,1.9287279829303041,4.6080671730050655,14,24.683,0.10966421051124836,0.5707724331122389,1.0006561383163324
"(25.858, 28.208]",0.7857142857142857,1.9284639564403858,4.608086835171578,14,27.033,0.10966421051124836,0.5707724331122389,1.0006561383163324
